Designator,Mid X,Mid Y,Rotation,Layer
C1,121.4,-45.5,90.0,top
C10,121.4,-62.325,90.0,top
C2,121.4,-66.0,90.0,top
C3,121.4,-49.6,90.0,top
C4,121.4,-69.725,90.0,top
C5,116.7,-58.9,180.0,top
C6,113.2,-52.1,90.0,top
C7,108.1,-53.4,90.0,top
C8,113.5,-61.7,90.0,top
C9,121.4,-53.3,90.0,top
D1,109.3,-46.7,90.0,top
D2,102.4,-75.3,90.0,top
D3,86.8,-73.1,270.0,top
D4,81.5,-73.1,270.0,top
J1,72.0,-67.0,90.0,top
J4,84.3,-69.5,90.0,top
JP1,117.465,-45.6,270.0,top
JP2,117.465,-65.7,270.0,top
JP3,117.465,-49.3,270.0,top
JP4,117.465,-69.4,270.0,top
JP5,117.465,-53.0,270.0,top
JP6,117.465,-62.025,270.0,top
R1,110.0,-52.6,90.0,top
R2,117.5,-57.0,180.0,top
R3,102.4,-72.1,90.0,top
R4,85.1,-73.3,90.0,top
R5,79.8,-73.3,90.0,top
SW1,72.2,-40.2,0.0,top
U1,112.4625,-57.5,90.0,top
